iter	RMSE
497	15642.84754
498	15630.59976
499	15615.11959
500	15570.60655
501	15551.30419
502	15535.16483
503	15511.82627
504	15472.41229
505	15457.13883
506	15447.49653
507	15439.13911
508	15421.95692
509	15393.22163
510	15382.80737
511	15369.10525
512	15346.36452
513	15328.7222
514	15289.87053
515	15289.22188
516	15275.16255
517	15272.11485
518	15267.46955
519	15257.37099
520	15222.70203
521	15192.35088
522	15159.96379
523	15154.23728
524	15114.89649
525	15097.36664
526	15081.67463
527	15056.74986
528	15040.63222
529	15031.42897
530	15011.76237
531	15008.10721
532	14987.78861
533	14983.63256
534	14969.52511
535	14949.00514
536	14945.0695
537	14926.25172
538	14922.32531
539	14897.68592
540	14876.36541
541	14861.83718
542	14843.40396
543	14827.8964
544	14802.78473
545	14768.01748
546	14742.64273
547	14734.42243
548	14723.80093
549	14700.23228
550	14688.18852
551	14674.17315
552	14655.48675
553	14647.97103
554	14625.05183
555	14612.58518
556	14608.79812
557	14607.70536
558	14594.25785
559	14583.55864
560	14572.23954
561	14561.69819
562	14543.5441
563	14537.80506
564	14535.55586
565	14527.83799
566	14512.73011
567	14487.99168
568	14475.20905
569	14468.36429
570	14459.7027
571	14450.93389
572	14441.53835
573	14427.86619
574	14408.16223
575	14395.92159
576	14392.69898
577	14385.52721
578	14377.26127
579	14358.43325
580	14337.84744
581	14336.6587
582	14333.68627
583	14309.92888
584	14286.65068
585	14273.2617
586	14250.78757
587	14248.40988
588	14228.16901
589	14225.22871
590	14216.32691
591	14198.05485
592	14172.86389
593	14150.99288
594	14131.13382
595	14109.19345
596	14101.2242
597	14092.51344
598	14068.95047
599	14061.74411
600	14050.71982
601	14041.78855
602	14039.91735
603	14032.5322
604	14024.31819
605	13998.77785
606	13978.67243
607	13968.04908
608	13952.72643
609	13929.78347
610	13914.35406
611	13902.52276
612	13864.74401
613	13855.98388
614	13840.90652
615	13827.01992
616	13805.6123
617	13794.10985
618	13766.6064
619	13739.7482
620	13736.78544
621	13725.9552
622	13714.01354
623	13696.16648
624	13661.16267
625	13644.79195
626	13629.67661
627	13620.62496
628	13615.02867
629	13592.42954
630	13583.94461
631	13570.18298
632	13563.49884
633	13537.2128
634	13526.92821
635	13499.27477
636	13485.90058
637	13475.14521
638	13462.54453
639	13431.69869
640	13418.4799
641	13408.88475
642	13388.89645
643	13377.77756
644	13356.1552
645	13354.13847
646	13337.83099
647	13313.25891
648	13306.56199
649	13296.28376
650	13279.16963
651	13274.51947
652	13256.73546
653	13250.72384
654	13231.23528
655	13229.6553
656	13221.81156
657	13215.28998
658	13201.6021
659	13197.22202
660	13180.25985
661	13155.07895
662	13130.29977
663	13119.77131
664	13106.99567
665	13102.12483
666	13101.74515
667	13085.60804
668	13069.48056
669	13062.10639
670	13052.47866
671	13031.55663
672	13021.9281
673	13013.8476
674	13003.28196
675	12995.13555
676	12981.97923
677	12970.23114
678	12966.44191
679	12959.04067
680	12943.79496
681	12925.83083
682	12914.54958
683	12911.25278
684	12905.79965
685	12891.89357
686	12881.16259
687	12872.86469
688	12869.02075
689	12860.5242
690	12851.79635
691	12841.62166
692	12827.42483
693	12820.97613
694	12810.21912
695	12804.62389
696	12795.91972
697	12770.78495
698	12758.90333
699	12744.73249
700	12736.25442
701	12729.0397
702	12722.69543
703	12720.95999
704	12711.57288
705	12697.40751
706	12678.42556
707	12664.95819
708	12659.40214
709	12653.13153
710	12645.93338
711	12641.53773
712	12635.70462
713	12631.06116
714	12608.3879
715	12592.76314
716	12586.89463
717	12580.9802
718	12576.73161
719	12568.28976
720	12558.45463
721	12544.23113
722	12542.82532
723	12537.08237
724	12533.60155
725	12529.65328
726	12517.93145
727	12493.48102
728	12481.47833
729	12473.61945
730	12467.74836
731	12451.85118
732	12432.65492
733	12419.59747
734	12410.77449
735	12409.18322
736	12403.85676
737	12392.25816
738	12388.91592
739	12380.45011
740	12376.43605
741	12369.51816
742	12363.40122
743	12352.81997
744	12337.77149
745	12330.71217
746	12326.46628
747	12313.91288
748	12294.93104
749	12290.75448
750	12284.72968
751	12270.7765
752	12251.59443
753	12245.90684
754	12238.58481
755	12210.06793
756	12205.63309
757	12198.76554
758	12194.66177
759	12178.48053
760	12177.09342
761	12167.57367
762	12157.36712
763	12150.69939
764	12141.19366
765	12127.18161
766	12107.8589
767	12086.24451
768	12074.05256
769	12068.63092
770	12059.29589
771	12055.34712
772	12047.72243
773	12042.26201
774	12037.53303
775	12033.58014
776	12031.96764
777	12013.75831
778	12007.74878
779	12004.41036
780	11994.70414
781	11987.77884
782	11967.14111
783	11965.57639
784	11954.31441
785	11946.57145
786	11937.27546
787	11916.37175
788	11913.96028
789	11898.24371
790	11884.00427
791	11866.00902
792	11839.97574
793	11830.35241
794	11822.68843
795	11814.05634
796	11802.76407
797	11792.51328
798	11782.62465
799	11770.30435
800	11753.22885
801	11752.92998
802	11743.40004
803	11738.53765
804	11736.7814
805	11734.55841
806	11727.30278
807	11722.89131
808	11712.83859
809	11707.96422
810	11695.25878
811	11686.83532
812	11670.68045
813	11664.60597
814	11658.78497
815	11651.62751
816	11650.72142
817	11646.68532
818	11634.28661
819	11628.93616
820	11623.43049
821	11618.39187
822	11610.73513
823	11607.32209
824	11604.88043
825	11595.50519
826	11581.4703
827	11576.01808
828	11558.37432
829	11546.80372
830	11537.30049
831	11534.10589
832	11519.99094
833	11509.88421
834	11506.66642
835	11503.30829
836	11482.55829
837	11470.16704
838	11462.73839
839	11456.16795
840	11440.61415
841	11435.06155
842	11430.00207
843	11419.57746
844	11412.63784
845	11400.0433
846	11395.72363
847	11378.52133
848	11352.42085
849	11344.37991
850	11337.02073
851	11309.7505
852	11302.79442
853	11298.36361
854	11287.10252
855	11277.86977
856	11264.55607
857	11250.26876
858	11247.00812
859	11233.9553
860	11225.01617
861	11224.24603
862	11213.18778
863	11196.9318
864	11187.25773
865	11183.05705
866	11173.81124
867	11172.65848
868	11157.57535
869	11151.08025
870	11148.78187
871	11144.20142
872	11132.38577
873	11131.63155
874	11118.51042
875	11109.34635
876	11104.193
877	11091.67226
878	11088.06894
879	11081.65864
880	11079.29686
881	11074.56781
882	11063.63973
883	11042.69265
884	11037.61392
885	11032.51339
886	11031.65714
887	11029.78218
888	11024.18523
889	11022.93926
890	11020.20379
891	11017.81795
892	11007.98691
893	10997.84986
894	10990.78587
895	10989.12692
896	10986.77567
897	10968.42226
898	10963.61073
899	10948.93638
900	10942.26118
901	10940.35496
902	10920.34876
903	10917.76525
904	10905.68986
905	10901.49194
906	10897.48871
907	10889.97092
908	10882.22003
909	10862.67798
910	10858.85503
911	10849.27419
912	10839.13981
913	10821.97823
914	10817.00442
915	10813.49299
916	10803.11558
917	10791.36687
918	10774.03584
919	10759.18604
920	10757.15706
921	10748.31668
922	10738.80062
923	10728.39663
924	10726.21696
925	10721.13498
926	10707.58586
927	10704.2109
928	10697.39322
929	10691.24044
930	10684.72701
931	10683.78518
932	10681.87246
933	10676.41193
934	10670.97787
935	10664.4562
936	10644.67049
937	10635.26534
938	10632.42444
939	10628.46498
940	10625.94355
941	10625.0456
942	10617.71251
943	10613.32597
944	10601.65416
945	10591.38447
946	10576.34211
947	10575.33786
948	10564.99795
949	10563.89281
950	10555.68999
951	10548.50575
952	10544.62648
953	10537.08674
954	10535.62741
955	10525.81309
956	10523.82325
957	10523.33331
958	10522.73804
959	10521.20192
960	10520.02884
961	10514.62397
962	10503.36511
963	10502.33308
964	10495.61205
965	10493.97317
966	10485.62921
967	10479.98136
968	10473.85182
969	10451.4836
970	10445.3237
971	10439.79645
972	10436.21349
973	10425.97796
974	10414.89422
975	10412.62083
976	10404.27168
977	10396.46372
978	10391.32548
979	10390.59453
980	10382.13505
981	10366.85293
982	10362.74965
983	10354.04602
984	10343.07748
985	10336.97388
986	10335.93634
987	10332.60169
988	10328.7913
989	10319.24718
990	10301.94574
991	10300.6388
992	10289.42208
993	10278.37083
994	10269.57711
995	10263.71457
996	10261.05985
997	10257.48453
998	10254.18473
999	10252.67734
